Srno,Name,War,War Attack,Clan Capital,Clan Games,Clan Games Maxed,Clan Score,Status
1,KAI HIWATARI,IN,271,211,15,5,557,Leader
2,Chief,IN,10,0,1,0,11,Elder
3,Little8uddy,IN,49,86,4,4,151,Elder
4,Ballistaaa,IN,105,176,5,4,301,Elder
5,emnil007,IN,136,146,14,7,380,Co-leader
6,Trapsus,IN,44,19,12,0,75,Elder
7,Eleiken,IN,214,158,10,1,382,Co-leader
8,LordHoodAs,IN,14,17,1,0,32,Elder
9,arggggggah,IN,5,184,7,0,196,Elder
10,GOD OF UNDEAD,IN,4,96,2,0,102,Elder
11,devil recite,IN,30,165,8,0,203,Elder
12,jai hind,IN,88,183,10,9,361,Elder
13,Noob3,IN,0,0,2,0,2,Elder
14,Yash,IN,3,172,8,0,183,Elder
15,Admiral-V,IN,64,133,5,1,202,Elder
16,Uncle Hope,IN,108,0,5,4,128,Elder
17,madsjeet,IN,95,168,7,7,312,Elder
18,lolilabo,IN,53,115,3,0,171,Elder
19,TheBluePurge,IN,42,0,3,1,45,Elder
20,GUDETAMA,IN,34,102,2,1,138,Elder
21,Rafael,IN,28,28,4,4,72,Elder
22,Born to be King,IN,64,102,4,4,182,Elder
23,maviphi,IN,36,101,3,0,140,Elder
24,VSL_SMIT...√,IN,11,66,3,2,83,Elder
25,Pixyy,IN,60,78,3,3,147,Elder
26,MIT PATEL,IN,82,87,4,3,181,Elder
27,iMojamed,OUT,0,0,0,0,0,Elder
28,Max,IN,30,108,4,2,146,Elder
29,jacob,IN,90,102,4,4,208,Elder
30,兲 H⊘ʅ⊘ćäυ₴ҭ,IN,34,66,2,2,104,Elder
31,Schmidtyyy,IN,6,0,0,0,6,Elder
32,gautam,IN,54,40,5,3,109,Elder
33,Izzmanelham,IN,44,93,1,0,138,Elder
34,Joyotri,IN,34,91,4,2,133,Elder
35,.Nêmmlm.,IN,65,88,4,3,165,Elder
36,fail_org,IN,39,95,4,4,150,Elder
37,Díjú bháí,IN,47,87,2,0,136,Elder
38,MALAY,IN,13,12,3,1,28,Elder
39,kking,IN,36,82,3,2,124,Elder
40,jenoslegod,IN,26,5,1,0,32,Elder
41,pнanтoм,IN,17,19,0,0,36,Elder
42,rydoly,OUT,0,54,1,0,55,Elder
43,carlitos,IN,22,0,0,0,22,Elder
44,Sk,IN,2,0,0,0,2,Elder
45,junmel,IN,0,18,0,0,18,Elder
46,KING,IN,2,4,0,0,6,Elder
47,Obsidian Matrix,IN,13,24,1,0,38,Elder
48,MASTER SARVESH,IN,32,19,7,0,58,Elder
49,SPARSH,IN,0,2,0,0,2,Elder
