Name,Clan Score
KAI HIWATARI,628
Ballistaaa,365
emnil007,437
Eleiken,431
arggggggah,229
GOD OF UNDEAD,108
devil recite,247
jai hind,440
Yash,207
Uncle Hope,165
madsjeet,387
lolilabo,174
Born to be King,182
maviphi,140
VSL_SMIT...√,122
Max,167
jacob,280
gautam,115
Izzmanelham,152
Joyotri,182
.Nêmmlm.,192
fail_org,228
Díjú bháí,193
kking,183
rydoly,93
MASTER SARVESH,104
kyaw_ein,78
kindstonge17,126
arshul,122
Little8uddy,151
Trapsus,85
Admiral-V,202
GUDETAMA,138
Pixyy,147
MIT PATEL,181
兲 H⊘ʅ⊘ćäυ₴ҭ,104
